id,median_house_value
0,162101.03187784692
1,251803.0116500021
2,152173.07312162686
3,165925.77218643622
4,181189.2442446896
5,308763.7907699938
6,148795.12583566364
7,112732.7680443516
8,255865.2851776909
9,97072.56888407888
10,193638.684546364
11,156877.07698514592
12,222010.5774231027
13,120760.27253997326
14,254583.42280580662
15,220596.82331678178
16,370939.78008506494
17,127932.45070375362
18,148863.72364238324
19,269392.36213860195
20,317932.98401526595
21,490508.1693419274
22,105701.09888339043
23,67784.49082827102
24,170323.4874257031
25,155065.17038793536
26,132059.93676025933
27,294522.2290668478
28,143420.94311631285
29,202492.91286484944
30,53041.42157998867
31,289437.6607630849
32,209840.49812675873
33,291806.4288323107
34,242412.09311700333
35,77423.53730669664
36,254943.75526549201
37,291412.1033427287
38,277870.0286005363
39,148666.29311918095
40,248358.87048078235
41,230995.81666622544
42,278877.585789212
43,172855.4422152494
44,139535.8319026432
45,98732.69601260824
46,310992.8942281818
47,54961.81318489695
48,325467.5120731527
49,249449.91474885633
50,224440.79747414915
51,163979.51856390154
52,263140.32575983694
53,263316.04907129286
54,128559.1926231645
55,84990.0456689247
56,81644.70655074343
57,63201.32755475072
58,321555.1513882885
59,285611.912901666
60,219668.37707068585
61,151095.63305745786
62,122414.14512365218
63,134486.85755459825
64,72733.95654497994
65,199958.2572567789
66,116417.5896873204
67,349565.5562920775
68,283396.1667535659
69,296698.26145029487
70,261449.16029693792
71,236809.89636291144
72,83847.1707060067
73,33070.57667376986
74,228328.79923885548
75,155781.15929507138
76,233171.9561268189
77,278192.6625571172
78,356076.9891359578
79,173829.4101342298
80,215815.07413843554
81,248661.669826495
82,266267.82978286827
83,52406.651276219636
84,313394.6229067887
85,265518.22695546644
86,40381.25253130123
87,247093.12058974057
88,193217.43154481146
89,349403.55940468423
90,182039.61357143568
91,276428.4379898617
92,320724.1526321806
93,212560.25709772715
94,312241.70978863025
95,134697.5726316087
96,161781.44219803857
97,189716.05483796913
98,473860.7118100971
99,209602.2521714582
100,161438.08409162238
101,90363.6844886276
102,186106.94202590175
103,97904.17648954038
104,165934.60477750888
105,200355.22243826417
106,274383.49882029416
107,305610.8993669832
108,191404.55097108474
109,150018.02783381054
110,81365.74866934493
111,353488.5178891588
112,158070.15944312792
113,188450.74392823037
114,202938.65428504534
115,177618.40398514736
116,88582.26024714625
117,194461.41126741096
118,221163.17214662535
119,225420.86447781697
120,100339.3565562754
121,162709.608080721
122,279522.7852058648
123,225038.0877017714
